Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
203,Pro Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey) Bundle,Beauty & Hygiene,40,40,Bathing Bars & Soaps,4.3,0,0,Very Good,Low
204,Fusion Soap Model,Beauty & Hygiene,430,430,Bathing Bars & Soaps,5,0,0,Excellent,Medium
205,Advanced Yellow Balm Line,Beauty & Hygiene,195,195,Everyday Medicine,3.9,0,0,Good,Medium
206,"Ultimate LED Bulb - 12 Watt, Cool Daylight, B22 Base Edition","Kitchen, Garden & Pets",159,260,Cfl & Led Bulbs,4,101,38.85,Very Good,Medium
207,Expert Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g Premium Pack,Fruits & Vegetables,81.06,109.38,Indian & Exotic Herbs,3.9,28.32,25.89,Good,Low
208,Artisan Jaggery/Bella Powder - Pesticide Free Selection,"Foodgrains, Oil & Masala",56,70,Sugar & Jaggery,3.9,14,20,Good,Low
209,New Generation Ready Masala - Kashmiri Meat Range,"Foodgrains, Oil & Masala",19,20,Blended Masalas,4.2,1,5,Very Good,Low
210,"Fusion Water Saving Aerator, Switch Line",Cleaning & Household,509,509,"Kitchen, Glass & Drain",3.9,0,0,Good,High
211,Artisan Lemongrass Anti-Pigmentation Massage Cream Set,Beauty & Hygiene,148.5,165,Face Care,3.9,16.5,10,Good,Low
212,Signature Breakfast Mix - Finger Millet Ragi Idli Selection,Snacks & Branded Foods,119,149,Breakfast & Snack Mixes,4.2,30,20.13,Very Good,Low
213,Expert Herbal Wine Grapefruit Lip Balm Selection,Beauty & Hygiene,99,99,Lip Care,4.4,0,0,Very Good,Low
214,Artisan Masala Upma Bundle,Snacks & Branded Foods,20,20,Heat & Eat Ready Meals,3.4,0,0,Good,Low
215,Signature Maharishi Ayurveda Ayush Kwath Collection,Beauty & Hygiene,165,165,Ayurveda,3.9,0,0,Good,Medium
216,New Generation Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257) Edition,"Kitchen, Garden & Pets",2369,2780,Pressure Cookers,3.9,0,0,Good,High
217,Ultimate Chicken Liver Gourmet Loaf With Pumpkin - Super Food Set,"Kitchen, Garden & Pets",150,150,Pet Meals & Treats,3.9,0,0,Good,Medium
218,Essential Bath & Body Oil - Oriental Spicy Rose Range,Beauty & Hygiene,699,699,Aromatherapy,2,0,0,Average,High
219,"Elite Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone Selection",Beauty & Hygiene,333,450,Body Care,4.2,117,26,Very Good,Medium
220,Ultimate Brioche Edition,"Bakery, Cakes & Dairy",155,155,Gourmet Bread,4.4,0,0,Very Good,Medium
221,New Generation Onion - Rings Line,Gourmet & World Food,75,75,"Healthy, Baked Snacks",3.9,0,0,Good,Low
222,Artisan Cotton Mop With Telescopic Handle 150 Cm Premium Pack,Cleaning & Household,558,620,"Mops, Wipers",3.9,62,10,Good,High
223,Max Kale Selection,Fruits & Vegetables,10,12.5,Organic Vegetables,3.9,2.5,20,Good,Low
224,"Artisan Notebook - Unruled, Long Model",Cleaning & Household,33,33,"Notebooks, Files, Folders",4.3,0,0,Very Good,Low
225,Pro Instant Noodles - Soy & Vinegar Range,Gourmet & World Food,67.5,75,Imported Noodles,3.6,7.5,10,Good,Low
226,Expert Gluten-Free Quinoa Flour Style,Gourmet & World Food,378,378,Flours & Pre-Mixes,3.7,0,0,Good,Medium
227,"Essential Chikki, Peanut Bar Bundle",Snacks & Branded Foods,40,40,Chikki & Gajjak,4.1,0,0,Very Good,Low
228,Max 1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex Set,Beauty & Hygiene,4900,5000,Attar,3.9,0,0,Good,High
229,Fusion Man - Indigo Body Mist Bundle,Beauty & Hygiene,278.4,348,Body Sprays & Mists,3.9,69.6,20,Good,Medium
230,Ultimate Fields Of Gold Organic Cumin - Whole Style,"Foodgrains, Oil & Masala",52,52,Organic Masalas & Spices,4.4,0,0,Very Good,Low
231,Advanced Body Massage Oil - Energising Premium Pack,Beauty & Hygiene,697.5,775,Aromatherapy,3.9,77.5,10,Good,High
232,Advanced Synthetic Food Colour Preparation Lemon Yellow Edition,Snacks & Branded Foods,20,20,Home Baking,4,0,0,Very Good,Low
233,"Elite Toothpaste - Gum Care, Expert Protection Selection",Beauty & Hygiene,78.4,98,Toothpaste,4.3,19.6,20,Very Good,Low
234,New Generation Bio Myristica Spot Correcting Anti Acne Face Pack Style,Beauty & Hygiene,149.25,199,Face Care,3.9,49.75,25,Good,Low
235,"Expert Stainless Steel Frying Ladle - No. 9, Silvera Collection","Kitchen, Garden & Pets",65,82,"Strainer, Ladle, Spatula",3.7,17,20.73,Good,Low
236,Artisan OvenOrg Multi Millet Rusk Set,"Bakery, Cakes & Dairy",35,35,Rusks,1.8,0,0,Poor,Low
237,Pro Mahabhringraj Tel - Hairfall Reduction & Dandruff Control Premium Pack,Beauty & Hygiene,295,295,Ayurveda,3.9,0,0,Good,Medium
238,Signature Masterchefs Germ Protection Liquid Handwash Refill Collection,Beauty & Hygiene,147,147,Hand Wash & Sanitizers,4.2,0,0,Very Good,Low
239,Fusion Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm Set,Beauty & Hygiene,108.78,117,Hair Color,4.2,8.22,7.03,Very Good,Low
240,Advanced Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey Line,Gourmet & World Food,449.1,499,Balsamic & Cider Vinegar,5,49.9,10,Excellent,Medium
241,"Pro Brinjal - Varikatri, Organically Grown Range",Fruits & Vegetables,10,12.5,Organic Vegetables,3.9,2.5,20,Good,Low
242,Pro Wonderz Milk Shakes - Classic Vanilla Style,"Bakery, Cakes & Dairy",29.75,35,"Flavoured, Soya Milk",4.5,5.25,15,Excellent,Low
243,Max Marie Light Biscuits - Oats Fibre Line,Snacks & Branded Foods,25,25,"Marie, Health, Digestive",4.3,0,0,Very Good,Low
244,Pro Masala - Chicken Range,"Foodgrains, Oil & Masala",28,28,Blended Masalas,4.8,0,0,Excellent,Low
245,Ultimate Dark Chocolate- 55% Rich In Cocoa Line,Snacks & Branded Foods,87.12,100,Chocolates,4.3,12.88,12.88,Very Good,Low
246,Fusion Gentle Baby Wipes Range,Baby Care,699,699,Baby Wipes,4.1,0,0,Very Good,High
247,Ultimate Avocado Style,Fruits & Vegetables,105,131.25,Exotic Fruits,3.9,26.25,20,Good,Low
248,New Generation Plastic Dustbin - Beige Series,Cleaning & Household,249,449,Dustbins,4.1,200,44.54,Very Good,Medium
249,"New Generation Pineapple - Chunks, Single Serve Style",Fruits & Vegetables,19,23.75,"Cut Fruit, Tender Coconut",3.9,4.75,20,Good,Low
250,Max Jeera Powder Premium Pack,"Foodgrains, Oil & Masala",44.2,52,Powdered Spices,4.1,7.8,15,Very Good,Low
251,Expert Pure Neem Skin Purifying Face Wash Line,Beauty & Hygiene,90,120,Face Care,4.3,30,25,Very Good,Low
252,Signature Lemon - Organically Grown Selection,Fruits & Vegetables,33.6,42,Organic Vegetables,3.9,8.4,20,Good,Low
253,Signature Lavender & Vanilla Handmade Luxury Soap Collection,Beauty & Hygiene,275,275,Bathing Bars & Soaps,5,0,0,Excellent,Medium
254,"Advanced Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver Set","Kitchen, Garden & Pets",2059,2424,Pressure Cookers,3,0,0,Good,High
255,"Pro Steel Deep Dabba/Storage Container - No. 12, Plain Range","Kitchen, Garden & Pets",249,339,Steel Storage Containers,3.9,90,26.55,Good,Medium
256,Expert Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster Series,Beauty & Hygiene,225,225,Supplements & Proteins,5,0,0,Excellent,Medium
257,Artisan Morning Dew Perfumed Talc 250 g + English Lavender Perfumed Talc 250 g Range,Beauty & Hygiene,329.8,400,Talcum Powder,3.9,70.2,17.55,Good,Medium
258,"Elite Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy Line",Snacks & Branded Foods,140,140,Chocolates,3.6,0,0,Good,Low
259,Pro Banana Stem - Diced Line,Fruits & Vegetables,32,40,Cut & Peeled Veggies,3.9,8,20,Good,Low
260,Fusion Chilli Flakes Premium Pack,Gourmet & World Food,99,99,"Herbs, Seasonings & Rubs",4.3,0,0,Very Good,Low
261,Essential Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour Collection,"Kitchen, Garden & Pets",319,495,Lunch Boxes,3.5,176,35.56,Good,Medium
262,Elite Namkeen - Khara Boondi Selection,Snacks & Branded Foods,49,85,Namkeen & Savoury Snacks,4,36,42.35,Very Good,Low
263,Fusion Raw Seeds - Sunflower Pumpkin Flax Seeds Selection,Gourmet & World Food,166,175,Roasted Seeds & Nuts,4.4,9,5.14,Very Good,Medium
264,"Elite Garnet LED White Bulb - 14 Watt, Cool Day, B22 Style","Kitchen, Garden & Pets",199,320,Cfl & Led Bulbs,3.5,121,37.81,Good,Medium
265,Essential Tempeh Cubes - Simply Sriracha Soyabean Style,"Bakery, Cakes & Dairy",135,150,"Paneer, Tofu & Cream",5,15,10,Excellent,Low
266,Advanced Green Tea Gentle Detox Set Edition,Beauty & Hygiene,972,972,Body Care,3.9,0,0,Good,High
267,Fusion Fresh Catch Fish Fingers Edition,"Eggs, Meat & Fish",240,240,Frozen Fish & Seafood,3.9,0,0,Good,Medium
268,Elite Sour Cream & Onion Collection,Gourmet & World Food,95,95,Nachos & Chips,2.8,0,0,Average,Low
269,Fusion Xylitol Powder Bundle,Gourmet & World Food,350,350,Exotic Sugar & Salt,5,0,0,Excellent,Medium
270,Expert Glass Amaze Air Tight Jar - Pink Premium Pack,"Kitchen, Garden & Pets",289,358,Glassware,3.9,69,19.27,Good,Medium
271,Fusion Sixer Biscuits - Salted Premium Pack,Snacks & Branded Foods,60,60,Salted Biscuits,4.2,0,0,Very Good,Low
272,"Artisan Gokshuradi Guggulu - Urinary Disorders, 500mg Series",Beauty & Hygiene,80,80,Ayurveda,3.9,0,0,Good,Low
273,Fusion Peach Shine Lip Care Set,Beauty & Hygiene,112.5,150,Lip Care,4,37.5,25,Very Good,Low
274,Ultimate Skincare Hand Wash Refill Collection,Beauty & Hygiene,218,218,Hand Wash & Sanitizers,4.3,0,0,Very Good,Medium
275,Advanced 4mm Aluminium Induction Base Chapati Roti Tawa - Silver Edition,"Kitchen, Garden & Pets",649,1289,Tawa & Sauce Pan,3.9,0,0,Good,High
276,Pro Mix - Rava Idli Model,Snacks & Branded Foods,110,110,Breakfast & Snack Mixes,4.1,0,0,Very Good,Low
277,Ultimate Impress Concentrated Perfume Free From Alcohol For Male Premium Pack,Beauty & Hygiene,300,500,Attar,3.9,200,40,Good,Medium
278,Pro Skin Awakening Rinse Edition,Beauty & Hygiene,432,480,Face Care,5,48,10,Excellent,Medium
279,Pro Pacific Steel Insulated Vacuum Flask Line,"Kitchen, Garden & Pets",609,999,Vacuum Flask,3.9,390,39.04,Good,High
280,Elite Regenerist - Advanced Anti-Ageing Revitalising Hydration Skin Cream Moisturizer SPF 15 Selection,Beauty & Hygiene,1049.25,1399,Face Care,4.1,0,0,Very Good,High
281,Fusion Cotton Swabs Range,Beauty & Hygiene,39,69,Cotton & Ear Buds,3.9,30,43.48,Good,Low
282,"Advanced Tropical Fruit Pudding - Lychee, Mango, Strawberry Flavoured Bundle",Gourmet & World Food,63.75,75,"Marshmallow, Candy, Jelly",4,11.25,15,Very Good,Low
283,Ultimate Pippali Fruit Powder - Supports Healthy Digestive & Immune System Set,Beauty & Hygiene,595,595,Ayurveda,3.9,0,0,Good,High
284,New Generation Salt & Peeper Shaker Masala Dabbi With Window Bundle,"Kitchen, Garden & Pets",89,125,Kitchen Tools & Other Accessories,3.2,36,28.8,Good,Low
285,Signature Organic - Triphala Powder Collection,"Foodgrains, Oil & Masala",94.05,99,Organic Masalas & Spices,4.2,4.95,5,Very Good,Low
286,Elite Aeda Glycerine Bathing Bar - Natural Green Set,Beauty & Hygiene,35,35,Bathing Bars & Soaps,4.7,0,0,Excellent,Low
287,Advanced Chicken Cocktail Sausage Set,"Eggs, Meat & Fish",171.6,220,Chicken Sausages,3.9,48.4,22,Good,Medium
288,Artisan Sun Expert Fairnes Sunscren Lotion SPF 30 PA++ Bundle,Beauty & Hygiene,385,385,Body Care,4.5,0,0,Excellent,Medium
289,Signature Cotton Pads Collection,Beauty & Hygiene,80,80,Cotton & Ear Buds,4.4,0,0,Very Good,Low
290,Artisan Ashwagandha Powder Series,Gourmet & World Food,400,400,Health Drinks,2.5,0,0,Average,Medium
291,New Generation Frozen - Mixed Vegetables Model,Snacks & Branded Foods,93.5,110,Frozen Vegetables,4.1,16.5,15,Very Good,Low
292,Elite Masala - Kitchen Edition,"Foodgrains, Oil & Masala",29.7,33,Blended Masalas,5,3.3,10,Excellent,Low
293,Ultimate Mustard/Sasive/Rai - Big Series,"Foodgrains, Oil & Masala",30,50,Whole Spices,4.2,20,40,Very Good,Low
294,Artisan Ayurvedic Soap Edition,Beauty & Hygiene,230.4,288,Bathing Bars & Soaps,4.4,57.6,20,Very Good,Medium
295,"Advanced Glass Matt Finish Bottle With Plastic Cap - Blue, BB1324 Model","Kitchen, Garden & Pets",169,309,Water & Fridge Bottles,3.9,140,45.31,Good,Medium
296,Artisan Perfume - Youth Dew EDP Spray Set,Beauty & Hygiene,3500,3500,Eau De Parfum,3.9,0,0,Good,High
297,Elite Cotton Swabs Set,Beauty & Hygiene,109,109,Cotton & Ear Buds,4,0,0,Very Good,Low
298,Expert Organic Idly - Oats Line,Snacks & Branded Foods,125,125,Breakfast & Snack Mixes,3.9,0,0,Good,Low
299,Essential Red Curry Selection,Gourmet & World Food,270,270,"Curry Paste, Coconut Milk",4.4,0,0,Very Good,Medium
300,Max Hareli Kitchen Jar Series,"Kitchen, Garden & Pets",409,502,Glassware,3.9,93,18.53,Good,Medium
301,Fusion Heavy Starch - Lemon Fresh Scent Edition,Cleaning & Household,285,285,Imported Cleaners,4.5,0,0,Excellent,Medium
302,New Generation United Dreams Go Far Eau De Toilette Range,Beauty & Hygiene,1330,1900,Eau De Toilette,5,0,0,Excellent,High
303,Advanced Ayurvedic Jamun Powder Collection,Beauty & Hygiene,60,60,Ayurveda,3.9,0,0,Good,Low
304,Max So Soft 2 Ply Face Tissue Box Series,Cleaning & Household,140,140,"Paper Napkin, Tissue Box",4.1,0,0,Very Good,Low
305,"Ultimate Pomegranate - Single Serve, Peeled Series",Fruits & Vegetables,34,42.5,"Cut Fruit, Tender Coconut",3.9,8.5,20,Good,Low
306,Max Stevia Spoonable - Powder Line,Gourmet & World Food,320,320,Exotic Sugar & Salt,3.9,0,0,Good,Medium
307,Essential Ylang Ylang Essential Oil Selection,Beauty & Hygiene,351,390,Aromatherapy,3,39,10,Good,Medium
308,Fusion Toor/Arhar Dal Line,"Foodgrains, Oil & Masala",128,160,"Toor, Channa & Moong Dal",3.9,32,20,Good,Low
309,Fusion Peristaltic Nipple - 'S' Hole Model,Baby Care,99,99,Sippers & Bottles,3.9,0,0,Good,Low
310,Artisan Fragrance Body Spray - Cool Blue Bundle,Beauty & Hygiene,159.5,290,Men'S Deodorants,3.5,130.5,45,Good,Medium
311,New Generation Vitamin C Brightening Peel Off Mask Collection,Beauty & Hygiene,499,499,Face Care,3.9,0,0,Good,Medium
312,Pro Almond & Rose Soap Value Pack Style,Beauty & Hygiene,131.2,160,Bathing Bars & Soaps,4.3,28.8,18,Very Good,Low
313,Signature Yippee Noodles - Magic Masala Range,Snacks & Branded Foods,61.2,68,Instant Noodles,4.3,6.8,10,Very Good,Low
314,Pro Fields Of Gold Organic Foxtail Millet Edition,"Foodgrains, Oil & Masala",90,90,Cereals & Millets,4.5,0,0,Excellent,Low
315,Artisan Arrabbiata Tomato Pasta Sauce With Chilli Collection,Gourmet & World Food,325,325,Mustard & Cheese Sauces,5,0,0,Excellent,Medium
316,"Pro Wood - Centre Filled Bar Infused With Dark Mousse, Cinnamon & Coffee Edition",Snacks & Branded Foods,350,350,Chocolates,4.5,0,0,Excellent,Medium
317,Pro Basil Seed Drink - Orange Edition,Gourmet & World Food,84.15,99,Gourmet Juices & Drinks,3.9,14.85,15,Good,Low
318,Essential Solution Anti Blackhead/Whitehead Masksheet (Pack of 10) Model,Beauty & Hygiene,900,1500,Face Care,3.9,0,0,Good,High
319,Ultimate Acno Fight Pimple Clearing Gel Edition,Beauty & Hygiene,104.3,149,Face & Body,3.3,44.7,30,Good,Low
320,Essential Pork Classic Salami Bundle,"Eggs, Meat & Fish",191.25,225,Pork & Ham,3.9,33.75,15,Good,Medium
321,Elite Gold Flash - Mosquito Repellent Combo Machine & Refill Series,Cleaning & Household,226.16,257,Mosquito Repellent,4.3,30.84,12,Very Good,Medium
322,Advanced Stainless Steel Airtight Storage Container - SL-1401 Premium Pack,"Kitchen, Garden & Pets",209,269,Steel Storage Containers,3.7,60,22.3,Good,Medium
323,Elite Organic Idly Podi - Ginger Selection,Snacks & Branded Foods,75,75,Breakfast & Snack Mixes,3.9,0,0,Good,Low
324,Elite Whisky Cocktail Mixers - 100% Natural Set,Gourmet & World Food,1200,1200,Gourmet Juices & Drinks,3.9,0,0,Good,High
325,Expert Family Sunscreen Lotion SPF 25 Collection,Beauty & Hygiene,273,420,Face Care,1,147,35,Poor,Medium
326,Fusion Japanese Cooking Rice-Wine Series,Gourmet & World Food,475,500,Flavoured & Other Oils,1,25,5,Poor,Medium
327,Ultimate Coated Green Peas - Wasabi Range,Gourmet & World Food,93.5,110,Roasted Seeds & Nuts,4.1,16.5,15,Very Good,Low
328,Fusion Charminar Basmati Rice/Basmati Akki - Select Range,"Foodgrains, Oil & Masala",399,569,Basmati Rice,3.9,170,29.88,Good,Medium
329,Max Hide & Seek Choco Rolls Line,Snacks & Branded Foods,37.5,50,Cream Biscuits & Wafers,4.3,12.5,25,Very Good,Low
330,"New Generation Hair Fall Control Kit - Oil, Shampoo & Serum Edition",Beauty & Hygiene,630,1050,Shampoo & Conditioner,5,0,0,Excellent,High
331,"Artisan Anti-Acne Face Cleanser - With Salyclic Acid, For Oily Skin Premium Pack",Beauty & Hygiene,236,295,Face & Body,3,59,20,Good,Medium
332,Artisan Gluten-Free Moong Dal Cheela/Dosa Mix Bundle,Gourmet & World Food,259,259,Flours & Pre-Mixes,4.2,0,0,Very Good,Medium
333,Ultimate Milk Boiler - Aluminium Bundle,"Kitchen, Garden & Pets",549,732,Cook And Serve,2.5,183,25,Average,High
334,"Signature Green Tea - Pure, Bio-Degradable Selection",Gourmet & World Food,297,297,Gourmet Tea & Tea Bags,3.9,0,0,Good,Medium
335,Advanced Cube Storage Glass Jar Premium Pack,"Kitchen, Garden & Pets",249,370,Containers Sets,4.4,121,32.7,Very Good,Medium
336,Ultimate M1 Perfume Spray - For Men Premium Pack,Beauty & Hygiene,231,420,Men'S Deodorants,4.3,189,45,Very Good,Medium
337,Fusion Tulsi Mulethi Green Tea Style,Gourmet & World Food,300,300,Gourmet Tea & Tea Bags,3.9,0,0,Good,Medium
338,Expert Nicer Dicer Style,"Kitchen, Garden & Pets",475,1195,Choppers & Graters,2.6,0,0,Average,Medium
339,Max Masala - Punjabi Chhole Range,"Foodgrains, Oil & Masala",28.05,33,Blended Masalas,4.3,4.95,15,Very Good,Low
340,"Advanced Pork - Fresh Bacon, Sliced Premium Pack","Eggs, Meat & Fish",360,400,Pork & Ham,3.9,40,10,Good,Medium
341,New Generation Active Salt Toothpaste Saver Pack 300g + Sensitive Soft Bristles Toothbrush 4pcs Model,Beauty & Hygiene,149.72,258,Toothpaste,3.9,108.28,41.97,Good,Low
342,Pro Silicone Feeding Nipple/Teat Regular Neck - Size XL Collection,Baby Care,150,150,Nursing Tools,3.9,0,0,Good,Medium
343,"Elite Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL Line","Kitchen, Garden & Pets",29,38,Containers Sets,3.6,9,23.68,Good,Low
344,Pro Chicken Jalapeno Cheese Nuggets Model,"Eggs, Meat & Fish",285,300,Chicken Sausages,3.9,15,5,Good,Medium
345,Essential Milk Delights Face Wash With Honey For Dry Skin Style,Beauty & Hygiene,86.4,90,Face Care,4.2,3.6,4,Very Good,Low
346,Advanced Instaglow Oxygen Bleach Series,Beauty & Hygiene,63,70,Face Care,4.1,7,10,Very Good,Low
347,Ultimate Soft Drink - Lime Flavoured Collection,Beverages,38,40,Cold Drinks,4.3,2,5,Very Good,Low
348,Pro Coffee Creamer - Coffee-Mate Premium Pack,Gourmet & World Food,425,425,Coffee & Pre-Mix,3.9,0,0,Good,Medium
349,Essential Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue Series,Cleaning & Household,219,265,Dustbins,2.8,46,17.36,Average,Medium
350,Advanced Khaas Shampoo Bar - Heena Amla Edition,Beauty & Hygiene,295,295,Shampoo & Conditioner,3.9,0,0,Good,Medium
351,Artisan Bubble Glass Bundle,"Kitchen, Garden & Pets",789,1041,Glassware,3.9,0,0,Good,High
352,Expert Dazzle Livid Lilac Dinner Set - White Collection,"Kitchen, Garden & Pets",1229,1895,Dinner Sets,3.8,0,0,Good,High
353,Signature Dhanwantharam Kwath Bundle,Beauty & Hygiene,140,140,Ayurveda,3.9,0,0,Good,Low
354,Fusion Suzzan Glass Bottle With Blue Cap Edition,"Kitchen, Garden & Pets",290,290,Water & Fridge Bottles,3.9,0,0,Good,Medium
355,Expert Henko Detergent Bar - Stain Care 250 gm + Mr. White Detergent Powder 1 kg Pouch Model,Cleaning & Household,87,95,Detergent Bars,3.9,8,8.42,Good,Low
356,New Generation Tea - English Breakfast Bundle,Beverages,166,195,Tea Bags,4.5,29,14.87,Excellent,Medium
357,Elite Rolled Oats - Gluten Free + Gluten Free - Steel Cut Oats (each 500 g) Range,Snacks & Branded Foods,352,400,Oats & Porridge,3.9,48,12,Good,Medium
358,"Max Wafer Roll - Twister, Black With Vanilla Flavoured Cream Bundle",Gourmet & World Food,275,275,"Cookies, Biscotti, Wafer",3.9,0,0,Good,Medium
359,Essential Steel Cut Oats Selection,Snacks & Branded Foods,650,650,Oats & Porridge,3.5,0,0,Good,High
360,Max Zucchini - Green Range,Fruits & Vegetables,50,62.5,Exotic Vegetables,3.9,12.5,20,Good,Low
361,Essential Green Sliced Olives Style,Gourmet & World Food,180,200,"Olive, Jalapeno, Gherkin",4,20,10,Very Good,Medium
362,Fusion Ready To Eat - Khatta Meetha Poha Style,Snacks & Branded Foods,60,60,Breakfast & Snack Mixes,4.1,0,0,Very Good,Low
363,Max Roasted Soyanuts - Wasabi Collection,Gourmet & World Food,185,185,Roasted Seeds & Nuts,3.9,0,0,Good,Medium
364,Advanced Radiance Boost Orange Aroma Mask Selection,Beauty & Hygiene,112.5,125,Face Care,2.5,12.5,10,Average,Low
365,Artisan Muffin/Cup Cake Vanilla 200 g + Choco Chip 200 g (Pack of 4 each) Range,"Bakery, Cakes & Dairy",318,318,Muffins & Cup Cakes,3.9,0,0,Good,Medium
366,Max Masala Oats - Veggie Twist Bundle,Snacks & Branded Foods,180,195,Oats & Porridge,4.2,15,7.69,Very Good,Medium
367,Elite Sunscreen Cream - Sunblock Anti Aging SPF UV 60 Collection,Beauty & Hygiene,475,475,Face Care,4.5,0,0,Excellent,Medium
368,Ultimate Sunblock Lotion Model,Beauty & Hygiene,178.5,210,Face Care,4.1,31.5,15,Very Good,Medium
369,Fusion Copper Water Fliptop Bottle - Stripes Range,"Kitchen, Garden & Pets",549,1299,Copper Utensils,2.4,0,0,Average,High
370,Ultimate For Men Evolution Eau De Toilette Style,Beauty & Hygiene,1900.8,3300,Eau De Toilette,3.9,0,0,Good,High
371,"Ultimate Long & Black Shampoo - With Goodness Of Amla & Bhringraj, For Shiny, Black Hair Selection",Beauty & Hygiene,171,190,Shampoo & Conditioner,4.2,19,10,Very Good,Medium
372,Signature Toothpaste - Complete Care Style,Beauty & Hygiene,65,80,Toothpaste,4.3,15,18.75,Very Good,Low
373,Elite Olive Oil - Pomace Series,Gourmet & World Food,3330,3330,"Pure, Pomace Olive Oil",3.5,0,0,Good,High
374,Expert Glass Set - Solo Shot Bar Style,"Kitchen, Garden & Pets",579,888,Glassware,3.9,309,34.8,Good,High
375,New Generation Bonacure Conditioner - Repair Rescue Set,Beauty & Hygiene,900,900,Shampoo & Conditioner,5,0,0,Excellent,High
376,Max Vegan Chipotle Mayo - Dairy-Free Premium Pack,Gourmet & World Food,332.5,350,Salad Dressings,3.4,17.5,5,Good,Medium
377,Ultimate Blueberry Selection,Fruits & Vegetables,330,418.75,Exotic Fruits,3.9,88.75,21.19,Good,Medium
378,"Pro Oregano - Organic, USDA Certified Premium Pack",Gourmet & World Food,99,99,"Herbs, Seasonings & Rubs",4.2,0,0,Very Good,Low
379,Expert Chunky Salsa - Mild Set,Gourmet & World Food,140.25,165,"Hummus, Cheese, Salsa Dip",3.9,24.75,15,Good,Low
380,Essential Multigrain Energy Bar - Nuts n Seed Series,Gourmet & World Food,40,40,Cereal & Granola Bars,4,0,0,Very Good,Low
381,Elite Active Fresh Gel Toothpaste Collection,Beauty & Hygiene,45,50,Toothpaste,4.3,5,10,Very Good,Low
382,Ultimate Hydro Replenish Radiance Day Crème with SPF 15 Bundle,Beauty & Hygiene,104.3,149,Face Care,4.3,44.7,30,Very Good,Low
383,Signature Anti-Hair Fall Shampoo Bundle,Beauty & Hygiene,123.5,130,Shampoo & Conditioner,4.2,6.5,5,Very Good,Low
384,"Fusion Cereal - Ragi, Rice & Mango With Milk Collection",Baby Care,300,300,Organic Baby Food,4,0,0,Very Good,Medium
385,Fusion Fenugreek/Methi/Menthya Edition,"Foodgrains, Oil & Masala",18.4,30,Whole Spices,4.1,11.6,38.67,Very Good,Low
386,Max Hair Spa Oil Therapy Edition,Beauty & Hygiene,370.5,390,Hair Oil & Serum,5,19.5,5,Excellent,Medium
387,"New Generation Sauce - Bhut Jolokia, Sweet Chilli Bundle",Snacks & Branded Foods,168.75,225,Chilli & Soya Sauce,5,56.25,25,Excellent,Medium
388,Expert Dry Fruit Mixed Chatpata Range,Gourmet & World Food,149,215,Dry Fruits & Berries,3.9,66,30.7,Good,Low
389,Artisan Organic Coriander Powder Edition,"Foodgrains, Oil & Masala",48,48,Organic Masalas & Spices,4.1,0,0,Very Good,Low
390,Pro Stainless Steel Induction Base Tope Collection,"Kitchen, Garden & Pets",399,435,Bowls & Vessels,4.1,36,8.28,Very Good,Medium
391,"New Generation Adult Cat Food Pocket Tuna 7 kg + Wet Meal Tuna In Jelly, for Adult Cat 1.02 kg Edition","Kitchen, Garden & Pets",1986.6,2220,Pet Meals & Treats,3.9,0,0,Good,High
392,"Fusion Pork - Mortadella with Olives, Sliced Edition","Eggs, Meat & Fish",410.4,456,Pork & Ham,3.9,45.6,10,Good,Medium
393,New Generation Andhra Special Allam/Ginger Pickle Selection,Snacks & Branded Foods,210,210,Other Veg Pickle,2,0,0,Average,Medium
394,Ultimate New Dry Diapers - Medium Selection,Baby Care,388.88,425,Diapers,3.8,36.12,8.5,Good,Medium
395,Expert Fruit N Fibre Muesli - Mixed Fruit Premium Pack,Snacks & Branded Foods,320,320,Muesli,4.3,0,0,Very Good,Medium
396,Fusion Basa Fish - Fillet Family Pack Edition,"Eggs, Meat & Fish",499,499,Frozen Fish & Seafood,3.9,0,0,Good,Medium
397,Pro Baby Corn - Sweet & Sour Series,Gourmet & World Food,607.75,715,Tomatoes & Vegetables,5,107.25,15,Excellent,High
398,Advanced Kool - Badam Collection,"Bakery, Cakes & Dairy",20,20,"Flavoured, Soya Milk",4.2,0,0,Very Good,Low
399,Max Creamy Crackers - Original Line,Gourmet & World Food,180,180,Crackers & Digestive,4.3,0,0,Very Good,Medium
